ID,tree_ID_cytb,tree_ID_ACR,cytb_clade,tree_ID,field number,Sample_or_control,date,collector/preparator,subspecies,species,State,county,specific locality,site name,lat,long,elevation (m),Sex,age class,total length (mm),tail (mm),hind foot (mm),ear (mm),weight (g)
KCB2017114b.HirdChipmunk2017F04,minimus_pictus_603343,NA,C,NA,KCB2017-114b,sample,42891,"Kayce C. Bell, Keegan P. Hottinger",minimus pictus,amoenus,Idaho,Custer,"Lost River Range; Bear Creek, 1.6 km NW Pass Creek Rd (FR122)",Lost River Range,43.98679,-113.4705,2180,F,adult,211,92,31,17,50.5
KCB2017114c.HirdChipmunk2017C02,amoenus_cratericus_603348,NA,I,NA,KCB2017-114c,sample,42891,"Kayce C. Bell, Keegan P. Hottinger",amoenus cratericus,amoenus,Idaho,Custer,"Lost River Range; Bear Creek, 1.6 km NW Pass Creek Rd (FR122)",Lost River Range,43.98679,-113.4705,2180,F,adult,211,92,31,17,50.5
DMNS16474.HirdChipmunk118,NA,NA,NA,NA,DMNS16474,sample,NA,NA,ruficaudus simulans,ruficaudus ,Idaho,MoscowMtn,NA,Moscow Mountain,46.805244,-116.857102,NA,M,adult,NA,NA,NA,NA,NA
DMNS16475.HirdChipmunk115,NA,NA,NA,NA,DMNS16475,sample,NA,NA,ruficaudus simulans,ruficaudus ,Idaho,MoscowMtn,NA,Moscow Mountain,46.805244,-116.857102,NA,M,adult,NA,NA,NA,NA,NA
DMNS16476.HirdChipmunk117,NA,NA,NA,NA,DMNS16476,sample,NA,NA,ruficaudus simulans,ruficaudus ,Idaho,MoscowMtn,NA,Moscow Mountain,46.805244,-116.857102,NA,M,adult,NA,NA,NA,NA,NA
DMNS16477.HirdChipmunk116,NA,NA,NA,NA,DMNS16477,sample,NA,NA,ruficaudus simulans,ruficaudus ,Idaho,MoscowMtn,NA,Moscow Mountain,46.805244,-116.857102,NA,F,adult,NA,NA,NA,NA,NA
DMNS16478.HirdChipmunk114,NA,NA,NA,NA,DMNS16478,sample,NA,NA,ruficaudus simulans,ruficaudus ,Idaho,MoscowMtn,NA,Moscow Mountain,46.805244,-116.857102,NA,F,adult,NA,NA,NA,NA,NA
DMNS16479.HirdChipmunk110,NA,NA,NA,NA,DMNS16479,sample,NA,NA,ruficaudus simulans,ruficaudus ,Idaho,Clearwater,1 km NNE Bighorn Point; Mouth of Weitas Creek,Weitas Creek,46.63526,-115.43225,NA,F,adult,NA,NA,NA,NA,NA
DMNS16482.HirdChipmunk112,NA,NA,NA,NA,DMNS16482,sample,NA,NA,ruficaudus ruficaudus,ruficaudus,Idaho,SlateCrk,NA,Slate Creek,45.634857,-116.280931,NA,M,adult,NA,NA,NA,NA,NA
DMNS16483.HirdChipmunk113,NA,NA,NA,NA,DMNS16483,sample,NA,NA,ruficaudus ruficaudus,ruficaudus,Idaho,SlateCrk,NA,Slate Creek,45.634857,-116.280931,NA,M,adult,NA,NA,NA,NA,NA
DMNS16484.HirdChipmunk111,NA,NA,NA,NA,DMNS16484,sample,NA,NA,ruficaudus ruficaudus,ruficaudus,Idaho,SlateCrk,NA,Slate Creek,45.634857,-116.280931,NA,F,adult,NA,NA,NA,NA,NA
KCB2017256.HirdChipmunk2017H05,NA,NA,NA,NA,KCB2017-256,sample,42932,Kayce C. Bell,minimus operarius,minimus ,Colorado,Park,"Mosquito Range; 2 mi SE Weston Pass, along S Fork South Platte River",Mosquito Range,39.09986,-106.15354,3237,F,subadult,213,97,32,17,41.5
KCB2017263.HirdChipmunk2017E01,NA,NA,NA,NA,KCB2017-263,sample,42939,"Kayce C. Bell, Kelly A. Speer",minimus operarius,minimus ,New Mexico,Rio Arriba,"Jemez Mountains; Clear Creek, 2 km S San Gregorio Reservoir",Jemez Mountains,36.02293,-106.84566,2757,F,adult,222,106,31,18,50
NEG2-78486460.HirdChipmunk2017H03,NA,NA,NA,NA,NEG2-78486460,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG3-78493440.HirdChipmunk2017D05,NA,NA,NA,NA,NEG3-78493440,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK292384.HirdChipmunk2017H04,NA,NA,NA,NA,NK292384,sample,42901,"Kayce C. Bell, Keegan P. Hottinger",ruficaudus simulans,ruficaudus ,Idaho,Clearwater,1 km NNE Bighorn Point; Mouth of Weitas Creek,Weitas Creek,46.635586,-115.43165,746,M,adult,233,107,31,20,51.5
RID266Blank,NA,NA,NA,NA,RID266Blank,seq.control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RID273Blank,NA,NA,NA,NA,RID273Blank,seq.control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCB2017001.HirdChipmunk2017G03,quadrivittatus_quadrivittatus_603224,quadrivittatus_quadrivittatus_603224,F,USNM 603224,KCB2017-001,sample,42871,"Kayce C. Bell, Keegan P. Hottinger, Schuyler W. Liphardt",quadrivittatus,quadrivittatus,New Mexico,Harding,East rim of Mills Canyon at Mills Canyon Road,Mills Canyon,36.0708,-104.3498,1772,F,adult,221,99,33,19,57
KCB2017002.HirdChipmunk2017B01,quadrivittatus_quadrivittatus_603225,quadrivittatus_quadrivittatus_603225,F,USNM 603225,KCB2017-002,sample,42871,"Kayce C. Bell, Keegan P. Hottinger, Schuyler W. Liphardt",quadrivittatus,quadrivittatus,New Mexico,Harding,East rim of Mills Canyon at Mills Canyon Road,Mills Canyon,36.07035,-104.35145,1743,M,adult,223,109,32,19,56
KCB2017003.HirdChipmunk2017E05,quadrivittatus_quadrivittatus_603226,quadrivittatus_quadrivittatus_603226,F,USNM 603226,KCB2017-003,sample,42871,"Kayce C. Bell, Keegan P. Hottinger, Schuyler W. Liphardt",quadrivittatus,quadrivittatus,New Mexico,Harding,East rim of Mills Canyon at Mills Canyon Road,Mills Canyon,36.0702,-104.35316,1750,F,adult,224,94,32,19,61
KCB2017005.HirdChipmunk2017G04,quadrivittatus_quadrivittatus_603228,quadrivittatus_quadrivittatus_603228,F,USNM 603228,KCB2017-005,sample,42871,"Kayce C. Bell, Keegan P. Hottinger, Schuyler W. Liphardt",quadrivittatus,quadrivittatus,New Mexico,Harding,East rim of Mills Canyon at Mills Canyon Road,Mills Canyon,36.07013,-104.35223,1744,F,adult,220,96,32,20,60
KCB2017041.HirdChipmunk2017F05,minimus_operarius_603264,NA,D,USNM 603264,KCB2017-041,sample,42877,"Kayce C. Bell, Keegan P. Hottinger, Danielle J. Parsons, Katrina M. Derieg, O. Liota Weinbaum, Schuyler W. Liphardt",minimus operarius,minimus ,New Mexico,San Miguel,Windsor Creek Campground,Windsor Creek,35.81215,-105.66322,2526,F,adult,227,104,32,17,64
KCB2017062.HirdChipmunk2017F01,dorsalis_grinnelli_603285,dorsalis_grinnelli_603285,G,USNM 603285,KCB2017-062,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.64583,-117.31484,1984,M,adult,206,90,32,22,52
KCB2017063.HirdChipmunk2017A03,dorsalis_grinnelli_603286,dorsalis_grinnelli_603286,G,USNM 603286,KCB2017-063,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.64669,-117.31451,1996,F,adult,214,91,30,22,54
KCB2017064.HirdChipmunk2017G05,NA,NA,NA,USNM 603287,KCB2017-064,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.64822,-117.31443,2003,F,adult,160,45,29,22,43
KCB2017065.HirdChipmunk2017A01,dorsalis_grinnelli_603288,dorsalis_grinnelli_603288,G,USNM 603288,KCB2017-065,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.6483,-117.31456,2011,M,adult,221,99,31,21,54.5
KCB2017079.HirdChipmunk2017D01,umbrinus_inyoensis_603302,umbrinus_inyoensis_603302,G,USNM 603302,KCB2017-079,sample,42885,"Kayce C. Bell, Keegan P. Hottinger",umbrinus inyoensis,umbrinus,Nevada,White Pine,Ruby Mountains; Overland Pass,Ruby Mountains,40.02552,-115.54913,1999,F,adult,222,96,32,20,56
